Solution,Cosine,BERT,File
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.9227911207424914,0.8164002912436518,10_HBMS.docx
"{'temperature': 1.1, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.9140578420021706,0.8108034737550124,10_HBMS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8623709557645737,0.763659896218835,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8848257724211447,0.7618500198160855,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8686061489440909,0.7612755416463736,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8924786730654996,0.7624210823144696,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8637990929373282,0.7487268695683543,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8976472513118937,0.7511459543233712,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.901293687781268,0.7676032033295321,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8886111885789635,0.7649478279221431,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8958846381703814,0.7674684322565535,07_OTS.docx
"{'temperature': 0.6, 'top_k': 50, 'top_p': 1.0, 'max_new_tokens': 4096}",0.8909669150020164,0.7797830972491535,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.1837315244006531,0.8177541950889027,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.2144480169448354,0.8001059882779152,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.2025848093541596,0.8198630868834921,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.2025236592165646,0.7993873478504792,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.1887334291377483,0.8026807978130388,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.1886251999423614,0.8045378695180488,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.2081097109293405,0.812919673411573,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.2204970086364015,0.7860734000608413,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.2177301828797727,0.8167290445262403,07_OTS.docx
"{'temperature': 0.8, 'top_k': 50, 'top_p': 0.9, 'max_new_tokens': 4096}",0.20066948110158,0.8189950655566784,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6920314527761373,0.7561946128937964,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6889394920744608,0.7587122390684381,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6907413904618359,0.7637560553167382,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.689140345031552,0.7698784027899598,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6850090632714685,0.7569849308775224,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.6917344556259853,0.7527299662309295,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.7066387641454567,0.7758143119849744,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.7026121401073204,0.7805919190623041,07_OTS.docx
"{'temperature': 1.0, 'top_k': None, 'top_p': 1.0, 'max_new_tokens': 2048}",0.7239413216022971,0.757511171068112,07_OTS.docx
